Invoice No.,Date,Customer,Branch / Warehouse,Salesman,Salesman Code,Salesman Name,Payment Mode,Gross Amount,Discount,Discount %,Tax,Round Off,Net Amount,Cost,Profit,Margin %,Quantity,Item Count,Status
AE-013598,30/04/2026,SHREE SHYAM MEDICAL           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,411.42,24.69,6,19.34,-0.07,406,370.28,35.72,8.8,2,1,POSTED
AE-013597,30/04/2026,BAGBERA MEDICAL HALL          BAGBERA,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,1307.3,52.34,4,62.76,0.28,1318,1244.66,73.34,5.56,12,2,POSTED
AE-013596,30/04/2026,MEDIWISE                      SAKCHI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,764.72,30.59,4,36.7,0.17,771,688.24,82.76,10.73,6,2,POSTED
AE-013595,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,337 - MEDICINE CORNER NEW RANIKUDAR,337,MEDICINE CORNER NEW RANIKUDAR,CREDIT,135.63,5.43,4,6.52,0.28,137,150.7,-13.7,-10,1,1,POSTED
AE-013594,30/04/2026,NEW KAUNTIA MEDICAL           BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3478.12,173.93,5,165.2,-0.39,3469,3292.36,176.64,5.09,38,3,POSTED
AE-013593,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,78.43,3.14,4,3.76,-0.05,79,78.43,0.57,0.72,1,1,POSTED
AE-013592,30/04/2026,CITI MEDICAL                  ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,453.9,22.7,5,21.56,0.24,453,408.51,44.49,9.82,3,2,POSTED
AE-013591,30/04/2026,FAMOUS MEDICAL                MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3043.38,182.6,6,143.04,0.18,3004,2739.06,264.94,8.82,12,3,POSTED
AE-013590,30/04/2026,HEALTH CARE MEDICAL           GOLMURI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,204.28,6.13,3,9.9,-0.05,208,183.86,24.14,11.61,2,1,POSTED
CN00328,30/04/2026,NEW ROHINI MEDICAL HALL       BAGBERA,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,138.86,5.55,4,6.66,0.03,140,124.96,15.04,10.74,2,1,RETURN
AE-013589,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,740.98,0,0,37.06,-0.04,778,668.84,109.16,14.03,6,4,POSTED
AE-013587,30/04/2026,DISCOUNT PHARMA               MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,498.58,29.91,6,23.44,-0.11,492,448.72,43.28,8.8,2,1,POSTED
AE-013586,30/04/2026,SHRI GANNAYAK MEDICAL         CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,260.34,0,0,13.02,-0.36,273,234.31,38.69,14.17,1,1,POSTED
AE-013588,30/04/2026,NALANDA MEDICAL               BHUYADIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,646.41,32.33,5,30.7,0.22,645,581.77,63.23,9.8,5,3,POSTED
AE-013584,30/04/2026,DISCOUNT PHARMA               MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,357.48,21.45,6,16.8,0.17,353,330.96,22.04,6.24,6,1,POSTED
AE-013583,30/04/2026,DISCOUNT PHARMA               MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4473.94,268.44,6,210.28,0.22,4416,4359.41,56.59,1.28,15,3,POSTED
AE-013582,30/04/2026,DISCOUNT PHARMA               MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,8383.83,503.28,6,531.5,-0.05,8412,7938.92,473.08,5.62,121,15,POSTED
AE-013585,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1100.72,0,0,55.02,649.26,1805,990.67,814.33,45.12,7,2,POSTED
AE-013581,30/04/2026,AGARWAL MEDICAL STORE(PERSUDIHPERSUDIH.JSR.,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,287.4,14.37,5,13.66,0.31,287,287.4,-0.4,-0.14,5,1,POSTED
AE-013580,30/04/2026,PRINCE                        BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1303.93,39.13,3,63.24,-0.04,1328,1231.76,96.24,7.25,17,3,POSTED
AE-013578,30/04/2026,SHRI GANNAYAK MEDICAL         CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,1554.5,62.24,4,74.6,0.14,1567,1633.76,-66.76,-4.26,16,4,POSTED
AE-013577,30/04/2026,DURGA PHARMACEUTICALS         KIRIBURU,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,2800.85,0.02,0,140.06,0.11,2941,2596.34,344.66,11.72,21,5,POSTED
AE-013579,30/04/2026,MANOJ MEDICAL HALL            BHUIYADIH,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,202.68,10.13,5,9.62,-0.17,202,182.4,19.6,9.7,2,1,POSTED
AE-013576,30/04/2026,SHRI GANNAYAK MEDICAL         CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,5312.4,212.57,4,230.82,0.35,5331,4800.22,530.78,9.96,73,17,POSTED
AE-013575,30/04/2026,GURUNANAK MEDICINE CENTRE(NEW)REFUGEE COLONY,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,353.54,10.61,3,17.14,-0.07,360,318,42,11.67,2,1,POSTED
AE-013573,30/04/2026,TABLETS                       BIRSANAGAR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1675.13,100.51,6,78.74,-0.36,1653,1507.62,145.38,8.79,4,2,POSTED
AE-013574,30/04/2026,SHRI GANNAYAK MEDICAL         CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,7270.82,290.82,4,349.04,-0.04,7329,6845.44,483.56,6.6,52,16,POSTED
AE-013572,30/04/2026,SUNSHINE HEALTHCARE           ADITYAPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,707.38,28.3,4,33.94,-0.02,713,636.63,76.37,10.71,5,2,POSTED
AE-013571,30/04/2026,KALPANA MEDICALS              PERSUDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1719.86,103.15,6,80.84,0.45,1698,1638.38,59.62,3.51,13,2,POSTED
AE-013569,30/04/2026,TABLETS                       BIRSANAGAR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,944.77,56.68,6,44.4,-0.49,932,850.29,81.71,8.77,7,2,POSTED
AE-013570,30/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,355,0,0,17.76,0.24,373,319.49,53.51,14.35,2,2,POSTED
AE-013567,30/04/2026,DR.A.PANI                     GHATSILA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,9371.4,0,0,468.58,0.02,9840,8544.6,1295.4,13.16,60,1,POSTED
AE-013566,30/04/2026,NIRMAL DRUG HOUSE             BARIDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,716.29,35.82,5,34.04,0.49,715,644.66,70.34,9.84,5,4,POSTED
AE-013565,30/04/2026,SUNDER MEDICAL                BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2683.7,134.18,5,195.14,0.34,2745,2415.35,329.65,12.01,15,8,POSTED
